indice_medicamento,nregistro,nombre_medicamento,tipo_imagen,url,fichero,estado,error
9,86037,ABIRATERONA STADA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/86037/86037_formafarmac.jpg,imagenes/abiraterona_stada_500_mg_comprimidos_recubiertos_con_pelicul__86037__formafarmac__0018.jpg,descargada,
10,07428001,ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/07428001/07428001_materialas.jpg,imagenes/abraxane_5_mg_ml_polvo_para_dispersion_para_perfusion__07428001__materialas__0019.jpg,descargada,
10,07428001,ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/07428001/07428001_formafarmac.jpg,imagenes/abraxane_5_mg_ml_polvo_para_dispersion_para_perfusion__07428001__formafarmac__0020.jpg,descargada,
11,85180,ABRILIA 20 MG COMPRIMIDOS EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/85180/85180_materialas.jpg,imagenes/abrilia_20_mg_comprimidos_efg__85180__materialas__0021.jpg,descargada,
11,85180,ABRILIA 20 MG COMPRIMIDOS EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/85180/85180_formafarmac.jpg,imagenes/abrilia_20_mg_comprimidos_efg__85180__formafarmac__0022.jpg,descargada,
12,1231752001,ABRYSVO POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/1231752001/1231752001_materialas.jpg,imagenes/abrysvo_polvo_y_disolvente_para_solucion_inyectable__1231752001__materialas__0023.jpg,descargada,
12,1231752001,ABRYSVO POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/1231752001/1231752001_formafarmac.jpg,imagenes/abrysvo_polvo_y_disolvente_para_solucion_inyectable__1231752001__formafarmac__0024.jpg,descargada,
13,65382,ABSORCOL 10 mg COMPRIMIDOS,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/65382/65382_materialas.jpg,imagenes/absorcol_10_mg_comprimidos__65382__materialas__0025.jpg,descargada,
13,65382,ABSORCOL 10 mg COMPRIMIDOS,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/65382/65382_formafarmac.jpg,imagenes/absorcol_10_mg_comprimidos__65382__formafarmac__0026.jpg,descargada,
14,60014,ACALKA 1080 mg COMPRIMIDOS DE LIBERACION PROLONGADA,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/60014/60014_materialas.jpg,imagenes/acalka_1080_mg_comprimidos_de_liberacion_prolongada__60014__materialas__0027.jpg,descargada,
14,60014,ACALKA 1080 mg COMPRIMIDOS DE LIBERACION PROLONGADA,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/60014/60014_formafarmac.jpg,imagenes/acalka_1080_mg_comprimidos_de_liberacion_prolongada__60014__formafarmac__0028.jpg,descargada,
15,70452,ACARBOSA TECNIGEN 100 mg COMPRIMIDOS,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/70452/70452_materialas.jpg,imagenes/acarbosa_tecnigen_100_mg_comprimidos__70452__materialas__0029.jpg,descargada,
15,70452,ACARBOSA TECNIGEN 100 mg COMPRIMIDOS,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/70452/70452_formafarmac.jpg,imagenes/acarbosa_tecnigen_100_mg_comprimidos__70452__formafarmac__0030.jpg,descargada,
16,70451,ACARBOSA TECNIGEN 50 mg COMPRIMIDOS,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/70451/70451_materialas.jpg,imagenes/acarbosa_tecnigen_50_mg_comprimidos__70451__materialas__0031.jpg,descargada,
16,70451,ACARBOSA TECNIGEN 50 mg COMPRIMIDOS,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/70451/70451_formafarmac.jpg,imagenes/acarbosa_tecnigen_50_mg_comprimidos__70451__formafarmac__0032.jpg,descargada,
17,69223,ACECLOFENACO CINFA 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,materialas,https://cima.aemps.es/cima/fotos/thumbnails/materialas/69223/69223_materialas.jpg,imagenes/aceclofenaco_cinfa_100_mg_comprimidos_recubiertos_con_pelicu__69223__materialas__0033.jpg,descargada,
17,69223,ACECLOFENACO CINFA 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,formafarmac,https://cima.aemps.es/cima/fotos/thumbnails/formafarmac/69223/69223_formafarmac.jpg,imagenes/aceclofenaco_cinfa_100_mg_comprimidos_recubiertos_con_pelicu__69223__formafarmac__0034.jpg,descargada,
