Modelo,Accuracy,F1-macro,Tiempo (s)
SVM RBF,0.6121902210314802,0.4845256816004146,98.60742092132568
KNN,0.5632953784326858,0.40127622649359135,0.0076999664306640625
Random Forest,0.551239115874079,0.27289039224858197,11.293911218643188
Gradient Boosting,0.5291359678499665,0.25764689097566695,51.23173713684082
Baseline — Mayoría,0.5050234427327528,0.13422340898976412,0.0028231143951416016
Logistic Regression,0.3945077026121902,0.3146692003224772,8.720635175704956
Baseline — Aleatorio,0.32283991962491626,0.20394275005252727,0.0003349781036376953
