atc3_codigo,num_medicamentos,ejemplo_1,ejemplo_2,ejemplo_3,ejemplo_4,ejemplo_5
L04A,371,ACIDO MICOFENOLICO STADA 180 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ACIDO MICOFENOLICO STADA 360 MG COMPRIMIDOS GASTRORRESISTENTES EFG,"ADOPORT 0,5 mg CAPSULAS DURAS EFG",ADOPORT 1 mg CAPSULAS DURAS EFG,ADOPORT 2 MG CAPSULAS DURAS
N05A,371,"ADASUVE 9,1 MG POLVO PARA INHALACION (UNIDOSIS)",AMISULPRIDA NORMON 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMISULPRIDA NORMON 200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMISULPRIDA NORMON 400 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ARIPIPRAZOL CINFA 1 MG/ML SOLUCION ORAL EFG
N06A,357,AGOMELATINA STADA 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,BESITRAN 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,BESITRAN 20 mg/ml CONCENTRADO PARA SOLUCION ORAL,BESITRAN 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,BUPROPION CINFA 150 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG
C09D,341,AMLODIPINO/VALSARTAN CINFAMED 10 mg/160 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/VALSARTAN CINFAMED 5 mg/160 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/VALSARTAN NORMON 10 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/VALSARTAN NORMON 5 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/VALSARTAN SANDOZ 10 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
C10A,340,ABSORCOL 10 mg COMPRIMIDOS,ALZIL 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ALZIL 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ALZIL 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ATORVASTATINA CINFA 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
N03A,337,ACOMICIL 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACOMICIL 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACOMICIL 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACOMICIL 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,CARBAMAZEPINA NORMON 200 mg COMPRIMIDOS EFG
M01A,330,ACECLOFENACO CINFA 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACECLOFENACO STADA 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACOXXEL 120 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ACOXXEL 30 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ACOXXEL 60 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
N02B,256,A.A.S. 500 mg COMPRIMIDOS,ACTRON COMPUESTO 267 MG/133 MG/40 MG COMPRIMIDOS EFERVESCENTES,ANTIDOL DUAL 500 MG/200 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA,ANTIDOL INFANTIL 100 MG/ML SOLUCION ORAL,ANTIDOL NIÑOS 325 MG GRANULADO
N02A,244,ADOLONTA RETARD 100 mg COMPRIMIDOS DE LIBERACION PROLONGADA,ADOLONTA RETARD 150 mg COMPRIMIDOS DE LIBERACION PROLONGADA,ADOLONTA RETARD 200 mg COMPRIMIDOS DE LIBERACION PROLONGADA,ADOLONTA RETARD 50 mg COMPRIMIDOS DE LIBERACION PROLONGADA,ADOLONTA 100 mg/ ml SOLUCION ORAL
B01A,242,A.A.S. 100 mg COMPRIMIDOS,ACIDO ACETILSALICILICO CINFAMED 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ACIDO ACETILSALICILICO STADA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ACIDO ACETILSALICILICO TARBIS 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG,ACIDO ACETILSALICILICO TECNIGEN 100 MG COMPRIMIDOS GASTRORRESISTENTES
A10B,212,ACARBOSA TECNIGEN 100 mg COMPRIMIDOS,ACARBOSA TECNIGEN 50 mg COMPRIMIDOS,DIAMICRON 30 mg COMPRIMIDOS DE LIBERACION MODIFICADA,DIAMICRON 60 mg COMPRIMIDOS DE LIBERACION MODIFICADA,DIANBEN 850 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
C09C,211,CANDESARTAN CINFA 16 mg COMPRIMIDOS EFG,CANDESARTAN CINFA 32 mg COMPRIMIDOS EFG,CANDESARTAN CINFA 8 mg COMPRIMIDOS EFG,CANDESARTAN NORMON 8 mg COMPRIMIDOS EFG,CANDESARTAN SANDOZ 16 mg COMPRIMIDOS EFG
A02B,199,AXIAGO 20 mg COMPRIMIDOS GASTRORRESISTENTES,AXIAGO 40 mg COMPRIMIDOS GASTRORRESISTENTES,CYTOTEC 200 MICROGRAMOS COMPRIMIDOS,ESOMEPRAZOL CINFA 20 MG CAPSULAS DURAS GASTRORRESISTENTES EFG,ESOMEPRAZOL CINFA 20 mg COMPRIMIDOS GASTRORRESISTENTES EFG
L01E,196,AFINITOR 10 MG COMPRIMIDOS,AFINITOR 5 MG COMPRIMIDOS,ALECENSA 150 MG CAPSULAS DURAS,BOSULIF 100 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,BOSULIF 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
R06A,195,ABRILIA 20 MG COMPRIMIDOS EFG,"AERIUS 0,5 MG/ML SOLUCION ORAL",AERIUS 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,ALERCINA 10 mg COMPRIMIDOS,ALERLISIN 1 mg/ml SOLUCION ORAL
N06D,180,ARICEPT FLAS 10 MG COMPRIMIDOS BUCODISPERSBLES,ARICEPT FLAS 5 MG COMPRIMIDOS BUCODISPERSABLES,ARICEPT 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,ARICEPT 5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,DEZIPAR 10 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
J05A,173,ABACAVIR/LAMIVUDINA DR. REDDYS 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ABACAVIR/LAMIVUDINA GLENMARK 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ABACAVIR/LAMIVUDINA KERN PHARMA 600 MG/300 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACICLOVIR CINFA 200 MG COMPRIMIDOS EFG,ACICLOVIR CINFA 800 mg COMPRIMIDOS DISPERSABLES EFG
G04B,150,ACALKA 1080 mg COMPRIMIDOS DE LIBERACION PROLONGADA,ACORE 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACORE 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACORE 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,BALCOGA 20 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
B02B,136,AFSTYLA 1.000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,AFSTYLA 2.000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,AFSTYLA 250 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,AFSTYLA 500 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,ALPROLIX 1.000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE
