atc3_codigo,num_medicamentos,ejemplo_1,ejemplo_2,ejemplo_3,ejemplo_4,ejemplo_5
J01D,132,ARCHIFAR 1G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,ARCHIFAR 500 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,CEFALEXINA NORMON 500 mg CAPSULAS DURAS,CEFAZOLINA NORMON 1 G POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE INTRAMUSCULAR EFG.,CEFAZOLINA NORMON 1 G POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE INTRAVENOSA EFG.
C10B,130,ALZIL PLUS 10 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,ALZIL PLUS 20 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,AMLODIPINO/ATORVASTATINA NORMON 10 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AMLODIPINO/ATORVASTATINA NORMON 5 MG/10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ATORDUO 10 MG/10 MG CAPSULAS DURAS
N05B,123,"ALPRAZOLAM CINFA 0,25 mg COMPRIMIDOS EFG","ALPRAZOLAM CINFA, 0,5 mg COMPRIMIDOS EFG","ALPRAZOLAM CINFA, 2 mg COMPRIMIDOS EFG","ALPRAZOLAM CINFA,1 mg COMPRIMIDOS EFG","ALPRAZOLAM NORMON 0,25 mg COMPRIMIDOS EFG"
J01C,120,"AMOXICILINA / ACIDO CLAVULANICO SANDOZ 250 mg/62,5 mg/5 ml POLVO PARA SUSPENSION ORAL EFG",AMOXICILINA CINFA 1000 MG COMPRIMIDOS EFG,AMOXICILINA CINFA 1000 MG POLVO PARA SUSPENSIÓN ORAL EN SOBRES EFG,AMOXICILINA CINFA 500 MG CÁPSULAS DURAS EFG,AMOXICILINA CINFA 500 MG POLVO PARA SUSPENSIÓN ORAL EN SOBRES EFG
R03A,118,AIRFLUSAL FORSPIRO 50 MICROGRAMOS/250 MICROGRAMOS/INHALACION POLVO PARA INHALACION (UNIDOSIS),AIRFLUSAL FORSPIRO 50 MICROGRAMOS/500 MICROGRAMOS/INHALACION POLVO PARA INHALACION (UNIDOSIS),"ANASMA ACCUHALER 50 microgramos/100 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","ANASMA ACCUHALER 50 microgramos/250 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","ANASMA ACCUHALER 50 microgramos/500 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN"
J02A,118,ANIDULAFUNGINA NORMON 100 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG,CANCIDAS 50 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,CANCIDAS 70 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,CASPOFUNGINA LORIEN 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG,CASPOFUNGINA LORIEN 70 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG
L02B,114,ABIRATERONA GLENMARK 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ABIRATERONA NORMON 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ABIRATERONA SANDOZ 500 MG COMPRIMDOS RECUBIERTOS CON PELICULA EFG,ABIRATERONA STADA 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AFULTRANT 250 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA EFG
G03A,106,"ADIERIS 2 MG/0,03 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",AIACET 75 MICROGRAMOS COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,"AIDESSIA 0,15 MG/ 0,02 MG COMPRIMIDOS EFG","AIDESSIA 0,15 MG/0,03 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG","AIDRA DIARIO 3 MG/0,03 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
C07A,105,ATENOLOL CINFA 100 mg COMPRIMIDOS EFG,ATENOLOL CINFA 50 mg COMPRIMIDOS EFG,ATENOLOL NORMON 100 mg COMPRIMIDOS RECUBIERTOS EFG,ATENOLOL NORMON 50 mg COMPRIMIDOS RECUBIERTOS EFG,ATENOLOL SANDOZ 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
C08C,104,"ADALAT OROS 30 mg, COMPRIMIDOS DE LIBERACION PROLONGADA",AMLODIPINO CINFA 10 mg COMPRIMIDOS EFG,AMLODIPINO CINFA 5 mg COMPRIMIDOS EFG,AMLODIPINO NORMON 10 mg COMPRIMIDOS EFG,AMLODIPINO NORMON 5 mg COMPRIMIDOS EFG
N04B,104,"ADARTREL 0,25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",ADARTREL 0.5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ADARTREL 2 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,COMTAN 200 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,DARIANTE 1 MG/24 HORAS PARCHES TRANSDÉRMICOS EFG
C09A,96,CAPTOPRIL CINFA 25 mg COMPRIMIDOS EFG,CAPTOPRIL CINFA 50 mg COMPRIMIDOS EFG,CAPTOPRIL NORMON 25 mg COMPRIMIDOS EFG,CAPTOPRIL NORMON 50 mg COMPRIMIDOS EFG,ENALAPRIL CINFA 10 mg COMPRIMIDOS
G04C,95,ALFUZOSINA STADA 10 mg COMPRIMIDOS DE LIBERACION PROLONGADA EFG,ALFUZOSINA VIATRIS 10 MG COMPRIMIDOS DE LIBERACIÓN PROLONGADA EFG,"AVIDART 0,5 mg CAPSULAS BLANDAS","BLOBAX 6 MG/0,4 MG COMPRIMIDOS DE LIBERACION MODIFICADA EFG","DUODART 0,5 MG/0,4 MG CAPSULAS DURAS"
B05B,92,"CLORURO DE SODIO GRIFOLS 0,45 % SOLUCIÓN PARA PERFUSIÓN","CLORURO DE SODIO PHYSAN 0,9% SOLUCION PARA PERFUSION","FISIOLOGICO B. BRAUN 0,9% SOLUCION PARA PERFUSION",GLUCOSA PHYSAN 10% SOLUCION PARA PERFUSION,GLUCOSA PHYSAN 20% SOLUCION PARA PERFUSION
C09B,90,"BIPRETERAX 4 mg/1,25 mg COMPRIMIDOS","BIPRETERAX 8 mg/2,5 mg COMPRIMIDOS",CAPTOPRIL / HIDROCLOROTIAZIDA NORMON 50 mg/25 mg COMPRIMIDOS EFG,"CO-RENITEC 20 mg/12,5 mg COMPRIMIDOS",CORIPREN 10 mg/10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
M05B,86,ACIDO ALENDRONICO SEMANAL CINFAMED 70 mg COMPRIMIDOS EFG,ACIDO ALENDRONICO SEMANAL NORMON 70 mg COMPRIMIDOS EFG,ACIDO ALENDRONICO SEMANAL STADA 70 mg COMPRIMIDOS EFG,ACIDO ALENDRONICO SEMANAL TECNIGEN 70 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,ACIDO IBANDRONICO CINFA 150 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
J01F,84,AZITROMICINA CINFA 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AZITROMICINA CINFA 500 mg POLVO PARA SUSPENSION ORAL EFG,AZITROMICINA NORMON 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,AZITROMICINA NORMON 500 mg POLVO PARA SUSPENSION ORAL EN SOBRE EFG,AZITROMICINA SANDOZ 200 MG/5 ML POLVO PARA SUSPENSIÓN ORAL EFG
R05C,78,ACETILCISTEÍNA BEXAL 200 mg POLVO PARA SOLUCIÓN ORAL EFG,ACETILCISTEÍNA BEXAL 600 mg COMPRIMIDOS EFERVESCENTES EFG,ACETILCISTEINA CINFA 100 mg POLVO PARA SOLUCION ORAL EFG,ACETILCISTEINA CINFA 200 mg POLVO PARA SOLUCION ORAL EFG,ACETILCISTEINA CINFA 600 mg COMPRIMIDOS EFERVESCENTES EFG
V03A,76,BRIDION 100 MG/ML SOLUCION INYECTABLE,BRIDION 100 MG/ML SOLUCION INYECTABLE,DEFERASIROX STADA 360 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,DEFERASIROX STADA 90 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,DESFERIN 500 mg POLVO PARA SOLUCION INYECTABLE O PERFUSION
S01E,72,ACETILCOLINA 10 MG/ML CUSÍ POLVO Y DISOLVENTE PARA SOLUCIÓN PARA INSTILACIÓN POR VÍA INTRAOCULAR,ALPHAGAN 2 mg/ml COLIRIO EN SOLUCION,ARTEOPTIC 1% COLIRIO DE LIBERACION PROLONGADA,ARTEOPTIC 2% COLIRIO DE LIBERACION PROLONGADA,ARTEOPTIC 20 mg/ml UNIDOSIS COLIRIO DE LIBERACION PROLONGADA EN ENVASE UNIDOSIS
J01X,72,COLIXIN 1MUI. POLVO PARA SOLUCION INYECTABLE,CUBICIN 350 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION,CUBICIN 500 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION,DAPTOMICINA ACCORD 350 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,DAPTOMICINA ACCORD 500 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG
L01B,69,ACTIKERALL 5 MG/G + 100 MG/G SOLUCION CUTANEA,ATRIANCE 5 MG/ML SOLUCION PARA PERFUSION,AZACITIDINA BETAPHARM 25 MG/ML POLVO PARA SUSPENSION INYECTABLE EFG,AZACITIDINA SANDOZ 25 MG/ML POLVO PARA SOLUCION INYECTABLE EFG,CAPECITABINA GLENMARK 500 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
N06B,65,ATENZA 18 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,ATENZA 27 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,ATENZA 36 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG,ATENZA 45 MG COMPRIMIDOS DE LIBERACIÓN PROLONGADA,ATOMOXETINA CINFA 80 MG CAPSULAS DURAS EFG
L01F,63,ADCETRIS 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,AYBINTIO 25 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION,BAVENCIO 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION,BESPONSA 1 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION,DARZALEX 20 MG/ML CONCENTRADO PARA SOLUCION PARA PERFUSION
C01E,63,"ALPROSTADIL PFIZER 0,5 mg/ml SOLUCION INYECTABLE",CORLENTOR 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,"CORLENTOR 7,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA",IDAPTAN 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,IVABRADINA CINFA 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
R03B,62,ASMANEX TWISTHALER 200 microgramos POLVO PARA INHALACION,ASMANEX TWISTHALER 400 microgramos POLVO PARA INHALACION,ATROALDO 20 microgramos/PULSACION SOLUCION PARA INHALACION EN ENVASE A PRESION,ATROVENT MONODOSIS 250 mcg / 2ml SOLUCION PARA INHALACION POR NEBULIZADOR,ATROVENT MONODOSIS 500 mcg/ 2ml SOLUCION PARA INHALACION POR NEBULIZADOR
D11A,59,FINASTERIDA CINFA 1 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,FINASTERIDA NORMON 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,FINASTERIDA SANDOZ 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,FINASTERIDA STADA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,MINOXIDIL CINFA 50 MG/ML SOLUCION CUTANEA
L01X,56,"ANAGRELIDA STADA 0,5 MG CAPSULAS DURAS EFG","BORTEZOMIB DR. REDDYS 3,5 MG POLVO PARA SOLUCION INYECTABLE EFG","BORTEZOMIB STADA 2,5 MG/ML SOLUCION INYECTABLE",CARBOPLATINO PHARMACIA 10 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG,CISPLATINO PHARMACIA 1 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG
N01B,56,ANAMAP 25 MG/G + 25 MG/G CREMA,ARTICAINA/EPINEFRINA NORMON 40 MG/ML + 10 MICROGRAMOS/ML SOLUCIÓN INYECTABLE EFG,ARTICAINA/EPINEFRINA NORMON 40 MG/ML + 5 MICROGRAMOS/ML SOLUCIÓN INYECTABLE EFG,BUPIVACAINA HIPERBARICA PHYSAN 5 MG/ML SOLUCION INYECTABLE,"BUPIVACAINA PHYSAN 2,5 MG/ML SOLUCION INYECTABLE"
A06A,55,"ADULAX 7,5 G SOLUCIÓN RECTAL","ATOLAXANT 13,7 G POLVO PARA SOLUCION ORAL",CASENGLICOL POLVO PARA SOLUCION ORAL,CASENLAX 10 g POLVO PARA SOLUCION ORAL EN SOBRE,CASENLAX 10 G SOLUCION ORAL EN SOBRE
N02C,55,"ALMOTRIPTAN CINFA 12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG","ALMOTRIPTAN NORMON 12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG","ALMOTRIPTAN STADA 12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",AQUIPTA 10 MG COMPRIMIDOS,AQUIPTA 60 MG COMPRIMIDOS
R02A,54,"ANGIFEN 8,75 MG PASTILLAS PARA CHUPAR SABOR MENTA","ANGIFEN 8,75 MG PASTILLAS PARA CHUPAR SABOR NARANJA",ANGILEPTOL COMPRIMIDOS PARA CHUPAR SABOR MENTA,ANGILEPTOL COMPRIMIDOS PARA CHUPAR SABOR MENTA-EUCALIPTO,ANGILEPTOL COMPRIMIDOS PARA CHUPAR SABOR MIEL-LIMÓN
B03X,54,ARANESP 10 microgramos SOLUCION INYECTABLE EN JERINGA PRECARGADA,ARANESP 100 microgramos SOLUCION INYECTABLE EN JERINGA PRECARGADA,ARANESP 130 microgramos SOLUCION INYECTABLE EN JERINGA PRECARGADA,ARANESP 150 microgramos SOLUCION INYECTABLE EN JERINGA PRECARGADA,ARANESP 150 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA
C03D,53,ALDACTONE 100 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ALDACTONE 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,EPLERENONA CINFAMED 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,EPLERENONA CINFAMED 50 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,EPLERENONA NORMON 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
D08A,51,"CLORXIL CON ALCOHOL ORANGE 20 MG/ML + 0,49 ML/ML SOLUCIÓN CUTÁNEA","CLORXIL CON ALCOHOL ORANGE 20 MG/ML + 0,49 ML/ML SOLUCION PARA PULVERIZACION CUTANEA","CLORXIL CON ALCOHOL 20 MG/ML + 0,63 ML/ML SOLUCION CUTANEA","CLORXIL CON ALCOHOL 20 MG/ML + 0,63 ML/ML SOLUCIÓN PARA PULVERIZACIÓN CUTANEA",CLORXIL YELLOW 20 MG/ML SOLUCION CUTANEA
H02A,50,ACTOCORTINA 373 mg POLVO PARA SOLUCIÓN INYECTABLE,CELESTONE CRONODOSE SUSPENSION INYECTABLE,DEFLAZACORT CINFA 30 mg COMPRIMIDOS EFG,DEFLAZACORT CINFA 6 mg COMPRIMIDOS EFG,DEFLAZACORT NORMON 30 mg COMPRIMIDOS EFG
D01A,50,AMOROLFINA STADA 50 mg/ml BARNIZ DE UÑAS MEDICAMENTOSO,CANESMYCOSPOR 10 mg/g CREMA,CANESPIE BIFONAZOL 10 mg/g CREMA,CANESPIE BIFONAZOL 10 mg/ml SOLUCION PARA PULVERIZACION CUTANEA,CANESPIE CLOTRIMAZOL 10 mg/g CREMA
M02A,46,ALGESAL ACTIVADO 10 MG/G + 100 MG/G POMADA,ALGESAL 10 MG/G + 100 MG/G ESPUMA CUTANEA,"CINFADOL SPRAY 39,2 MG/ML SOLUCIÓN PARA PULVERIZACIÓN CUTÁNEA","CINFADOL 11,6 MG/G GEL","ENANDOL 12,5 mg/g GEL"
R01A,46,"ATROVENT NASAL 0,30 mg/ml SOLUCION PARA PULVERIZACION NASAL","AVAMYS 27,5 MICROGRAMOS/PULVERIZACION, SUSPENSION PARA PULVERIZACION NASAL",AVANCORT DUO 137 MICROGRAMOS/50 MICROGRAMOS/APLICACION SUSPENSION PARA PULVERIZACION NASAL,BUDESONIDA ALCON 100 microgramos/DOSIS SUSPENSION PARA PULVERIZACION NASAL,BUDESONIDA ALCON 50 microgramos/DOSIS SUSPENSION PARA PULVERIZACION NASAL
N07B,46,"CHAMPIX 0,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA",EPTADONE 100 mg SOLUCION ORAL,EPTADONE 20 mg SOLUCION ORAL,EPTADONE 5 mg/ml SOLUCION ORAL,LEVOMETADONA MOLTENI 5 MG/ML SOLUCION ORAL
J01M,44,CIPROFLOXACINO CINFA 250 MG COMPRIMIDOS RECUBIERTOS EFG,CIPROFLOXACINO CINFA 500 MG COMPRIMIDOS RECUBIERTOS EFG,CIPROFLOXACINO CINFA 750 MG COMPRIMIDOS RECUBIERTOS EFG,CIPROFLOXACINO NORMON 250 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,CIPROFLOXACINO NORMON 500 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
L01C,43,ABRAXANE 5 MG/ML POLVO PARA DISPERSION PARA PERFUSION,CABAZITAXEL DR. REDDYS 60 MG CONCENTRADO Y DISOLVENTE PARA SOLUCION PARA PERFUSION EFG,CABAZITAXEL VIVANTA 60 MG CONCENTRADO Y DISOLVENTE PARA SOLUCION PARA PERFUSION EFG,DOCETAXEL HOSPIRA 10 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION,ETOPÓSIDO SANDOZ 20 MG/ML CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN EFG
M04A,43,ADENURIC 120 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,ADENURIC 80 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ALOPURINOL CINFAMED 100 MG COMPRIMIDOS EFG,ALOPURINOL CINFAMED 300 MG COMPRIMIDOS EFG,ALOPURINOL NORMON 100 mg COMPRIMIDOS EFG
N05C,43,DEXDOR 100 MICROGRAMOS/ML CONCENTRADO PARA SOLUCION PARA PERFUSION,DEXDOR 100 MICROGRAMOS/ML CONCENTRADO PARA SOLUCION PARA PERFUSION (25X2 ml),"HALCION 0,125 mg COMPRIMIDOS",LORMETAZEPAM CINFA 1 mg COMPRIMIDOS EFG,LORMETAZEPAM CINFA 2 mg COMPRIMIDOS EFG
J06B,42,NIULIVA 250 U.I./ml SOLUCION PARA PERFUSION,PRIVIGEN 100 mg/ml SOLUCION PARA PERFUSION,PRIVIGEN 100 mg/ml SOLUCION PARA PERFUSION,PRIVIGEN 100 mg/ml SOLUCION PARA PERFUSION,PRIVIGEN 100 mg/ml SOLUCION PARA PERFUSION
G03G,41,ELONVA 100 MICROGRAMOS SOLUCION INYECTABLE,ELONVA 150 MICROGRAMOS SOLUCION INYECTABLE,"GONAL-F 1050 UI/1,75 ml POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE","GONAL-F 150 UI/0,24 ML SOLUCION INYECTABLE EN PLUMA PRECARGADA","GONAL-F 300 UI/0,48 ML SOLUCION INYECTABLE EN PLUMA PRECARGADA"
